	log_likelihood
692	266.44656
693	271.5583
694	287.73624
695	262.18597
696	294.627
697	284.43204
698	306.4151
699	304.87134
700	299.805
701	283.30618
702	296.9858
703	285.1116
704	308.52914
705	324.55597
706	314.8566
707	288.4888
708	297.14282
709	245.13293
710	304.7597
711	314.4438
712	302.8748
713	321.1408
714	336.0899
715	308.1818
716	289.71744
717	300.16205
718	316.6229
719	283.662
720	324.20444
721	318.6767
722	314.6465
723	311.13043
724	276.4962
725	184.44296
726	241.1066
727	329.33237
728	278.7105
729	319.22705
730	329.21954
731	330.63858
732	234.53036
733	324.02045
734	327.98834
735	231.90227
736	255.41898
737	297.82803
738	278.03842
739	294.50592
740	326.2331
741	283.20218
742	276.42398
743	288.14154
744	299.08276
745	323.4428
746	295.27808
747	287.41095
748	321.87164
749	338.0567
750	332.7254
751	304.45132
752	244.21396
753	334.2877
754	248.5145
755	317.79535
756	255.14043
757	316.164
758	305.85678
759	297.0886
760	340.96765
761	301.82086
762	314.99185
763	326.89673
764	275.38843
765	289.8243
766	296.86514
767	247.99063
768	221.54703
769	319.5018
770	296.35992
771	312.15363
772	251.44612
773	270.43677
774	290.75186
775	322.0794
776	315.92987
777	192.39745
778	293.08026
779	220.69499
780	301.5556
781	323.61807
782	312.01602
783	312.1813
784	319.0307
785	255.30522
786	199.42488
787	273.97516
788	328.04913
789	275.52667
790	322.16815
791	291.20712
792	286.95892
793	295.23953
794	280.9471
795	288.6476
796	272.29932
797	270.8567
798	293.2514
799	282.61923
800	313.2184
801	314.5235
802	306.10052
803	269.90356
804	296.10165
805	306.72037
806	287.0193
807	289.80634
808	290.08453
809	311.5424
810	291.0556
811	314.8769
812	318.997
813	157.60544
814	292.62518
815	322.97256
816	317.97784
817	303.4047
818	277.6281
819	287.6212
820	184.10233
821	298.0882
822	320.81387
823	317.61313
824	309.28488
825	255.62154
826	274.50934
827	313.039
828	277.37006
829	319.224
830	208.56534
831	326.64383
832	215.72554
833	298.25912
834	318.12762
835	269.15195
836	269.97882
837	314.4477
838	250.83989
839	290.3624
840	323.39532
841	325.35202
842	176.37877
843	313.92728
844	325.76587
845	238.63982
846	287.9189
847	313.73517
848	328.62057
849	313.20392
850	280.80817
851	316.02032
852	289.44012
853	306.3436
854	304.9567
855	317.5197
856	327.52344
857	310.84305
858	312.85773
859	289.07138
860	275.1738
861	258.0999
862	246.61514
863	300.64282
864	304.6917
865	307.17825
866	294.41815
867	305.36688
868	314.55634
869	283.1528
870	313.24518
871	246.12898
872	292.93475
873	261.62238
874	308.7431
875	299.598
876	306.92462
877	333.04712
878	273.8417
879	310.12186
880	283.53372
881	331.35107
882	332.84128
883	307.7168
884	274.59882
885	268.59003
886	245.1373
887	267.0324
888	309.52194
889	187.4223
890	281.39365
891	296.87753
892	268.53726
893	314.9286
894	284.79376
895	311.57178
896	286.2593
897	214.0295
898	308.57904
899	306.1022
900	285.76532
901	327.22372
902	263.7222
903	274.56097
904	234.79594
905	294.082
906	198.38943
907	314.50842
908	330.81613
909	184.11873
910	291.29938
911	300.89175
912	307.28897
913	303.0969
914	330.1461
915	318.97882
916	280.9854
917	262.6456
918	327.9657
919	288.67368
920	296.104
921	277.0538
922	284.30658
923	261.99936
924	287.54028
925	322.29025
926	253.7688
927	50.54702
928	303.37393
929	287.46637
930	295.09113
931	236.17392
932	260.0298
933	284.1818
934	299.84726
935	307.79254
936	252.24138
937	313.6237
938	314.59918
939	322.50946
940	254.42924
941	321.79425
942	287.75946
943	238.45256
944	322.15765
945	318.92343
946	321.9864
947	269.9222
948	319.1231
949	256.99878
950	268.48383
951	318.68207
952	295.31207
953	188.35812
954	297.22018
955	303.89316
956	304.99316
957	150.1082
958	262.08212
959	305.96436
960	275.77603
961	259.38712
962	315.12106
963	338.81195
964	252.75842
965	293.34787
966	314.46405
967	289.65118
968	328.67282
969	302.6582
970	304.0868
971	257.82126
972	247.5894
973	302.82373
974	272.8657
975	317.91064
976	333.6212
977	281.64575
978	315.71588
979	284.98538
980	268.1629
981	272.54947
982	330.62045
983	187.15335
984	267.74313
985	304.78253
986	305.01022
987	332.05542
988	289.5124
989	302.7614
990	298.14716
991	307.63348
992	298.10327
993	316.12744
994	308.25284
995	327.23087
996	305.20303
997	327.53198
998	249.65031
999	304.59003
1000	321.72333
1001	301.40768
1002	287.60724
1003	294.90433
1004	297.84357
1005	142.91687
1006	272.13184
1007	324.47647
1008	330.49326
1009	269.57202
1010	200.55496
1011	274.90985
1012	305.8885
1013	242.83481
1014	302.76013
1015	312.11563
1016	302.60138
1017	324.85748
1018	288.50494
1019	328.19278
1020	318.13214
1021	306.10245
1022	243.51212
1023	149.77109
1024	329.5731
1025	320.30292
1026	296.70078
1027	251.96748
1028	307.55298
1029	284.9016
1030	315.1171
1031	317.8534
1032	249.47275
1033	280.77988
1034	270.65683
1035	315.34375
1036	279.7385
1037	312.49625
1038	327.4061
1039	304.10406
1040	293.9248
1041	182.49504
1042	23.440166
1043	256.18082
1044	230.6678
1045	302.5705
1046	223.13156
1047	308.48553
1048	294.51004
1049	317.6845
1050	172.70015
1051	320.77042
1052	320.48346
1053	313.3205
1054	295.7082
1055	327.21082
1056	322.39154
1057	337.19904
1058	265.33337
1059	265.28973
1060	283.4482
1061	332.3095
1062	309.30878
1063	238.69528
1064	249.86084
1065	292.09833
1066	238.94083
1067	202.56137
1068	307.89706
1069	273.34332
1070	308.30273
1071	301.42792
1072	314.0005
1073	329.35406
1074	272.57132
1075	315.35294
1076	311.71768
1077	279.0473
1078	144.10933
1079	303.1455
1080	310.6687
1081	321.25226
1082	284.24628
1083	328.79916
1084	304.8203
1085	322.56723
1086	314.31183
1087	182.607
1088	236.3317
1089	304.44296
1090	300.40012
1091	319.74918
1092	236.4978
1093	227.79585
1094	319.8184
1095	305.86444
1096	310.1264
1097	326.13998
1098	259.5694
1099	262.33453
1100	327.54828
1101	332.7768
1102	282.72348
1103	310.12448
1104	304.80966
1105	304.40765
1106	301.70697
1107	255.99814
1108	82.49368
1109	281.94815
1110	306.00797
1111	299.82025
1112	284.27817
1113	269.63278
1114	308.08362
1115	325.9431
1116	329.424
1117	321.3569
1118	310.71094
1119	222.22783
1120	270.93283
1121	292.45374
1122	274.50854
1123	319.2922
1124	314.0506
1125	291.11655
1126	274.1372
1127	327.89117
1128	312.6612
1129	282.5957
1130	290.82404
1131	324.3578
1132	309.1778
1133	309.1477
1134	282.6452
1135	274.18692
1136	198.48221
1137	330.5374
1138	331.4726
1139	316.03363
1140	301.3907
1141	317.7333
1142	324.49237
1143	264.73688
1144	305.966
1145	235.79375
1146	259.76715
1147	143.37346
1148	319.39984
1149	217.68307
1150	268.8347
1151	245.22421
1152	210.9895
1153	294.80142
1154	310.20746
1155	174.98953
1156	295.06168
1157	295.2683
1158	314.33658
1159	224.38188
1160	294.79395
1161	292.32443
1162	297.29767
1163	302.537
1164	298.18423
1165	271.8108
1166	297.59265
1167	283.08344
1168	274.20773
1169	281.57684
1170	257.87283
1171	310.32645
1172	332.70023
1173	322.68353
1174	280.34064
1175	307.8672
1176	326.0004
1177	321.15356
1178	278.21808
1179	318.7346
1180	256.46695
1181	323.32034
1182	293.9637
1183	291.00208
1184	254.25237
1185	325.944
1186	232.48628
1187	310.32193
1188	248.74458
1189	318.64972
1190	331.9754
1191	295.39008
1192	222.94778
1193	184.13094
1194	276.44473
1195	242.3363
1196	305.69324
1197	292.6591
1198	314.8525
1199	312.9443
1200	327.28473
1201	253.52127
1202	260.3599
1203	276.98535
1204	291.28546
1205	219.79497
1206	235.61777
1207	321.38983
1208	325.33368
1209	319.54718
1210	176.2076
1211	318.29892
1212	171.43758
1213	183.88481
1214	141.6464
1215	230.05832
1216	227.7629
1217	293.41132
1218	310.6362
1219	310.0265
1220	288.1717
1221	301.33258
1222	216.44736
1223	251.12273
1224	307.41388
1225	327.517
1226	314.17944
1227	297.8808
1228	323.34686
1229	327.372
1230	307.27768
1231	258.396
1232	275.51773
1233	282.8703
1234	195.07854
1235	266.463
1236	287.89044
1237	323.89664
1238	185.60318
1239	295.93805
1240	289.31772
1241	291.5578
1242	246.77983
1243	319.60648
1244	310.52826
1245	310.81985
1246	286.24585
1247	218.16081
1248	308.8365
1249	213.59192
1250	331.4856
1251	165.20903
1252	270.12146
1253	310.671
1254	256.68323
1255	313.6465
1256	236.34334
1257	300.75763
1258	269.22644
1259	291.18024
1260	279.29062
1261	312.51263
1262	316.07178
1263	312.66656
1264	202.63618
1265	299.13977
1266	255.7308
1267	321.37177
1268	297.08453
1269	255.24991
1270	239.38277
1271	173.41731
1272	254.8588
1273	259.32062
1274	296.43445
1275	286.19464
1276	318.70282
1277	312.1633
1278	274.62082
1279	288.89438
1280	283.52798
1281	326.19305
1282	285.48242
1283	313.54565
1284	294.5517
1285	188.21567
1286	292.979
1287	243.35489
1288	281.60867
1289	235.28674
1290	297.2653
1291	305.07733
1292	228.51587
1293	292.81998
1294	307.5036
1295	282.84357
1296	293.43423
1297	214.05026
1298	302.1048
1299	312.16754
1300	267.07968
1301	249.0549
1302	273.23758
1303	321.16104
1304	309.67535
1305	307.51163
1306	266.12543
1307	303.2663
1308	302.18326
1309	305.91403
1310	305.237
1311	318.7034
1312	282.8828
1313	267.1252
1314	258.54678
1315	273.07022
1316	206.90327
1317	284.21927
1318	271.31552
1319	310.36594
1320	308.05984
1321	277.30643
1322	316.76334
1323	290.54752
1324	325.60373
1325	241.92386
1326	284.3738
1327	-35.33107
1328	208.30942
1329	299.4477
1330	281.63943
1331	302.62384
1332	279.24063
1333	310.87164
1334	301.59882
1335	293.4688
1336	246.64597
1337	312.8785
1338	259.4151
1339	328.31827
1340	251.65752
1341	309.31363
1342	297.1936
1343	287.30603
1344	320.13617
1345	241.7022
1346	271.19388
1347	306.71848
1348	282.15656
1349	321.44467
1350	308.28058
1351	269.3377
1352	308.85654
1353	301.8872
1354	319.31293
1355	312.97498
1356	329.7089
1357	199.90059
1358	212.56502
1359	315.38596
1360	303.43652
1361	313.64505
1362	303.87726
1363	267.8449
1364	229.86296
1365	283.30157
1366	318.19843
1367	307.19577
1368	160.90591
1369	215.85681
1370	316.53986
1371	326.69827
1372	321.25797
1373	319.71136
1374	288.19034
1375	303.49405
1376	233.96423
1377	247.88899
1378	296.9998
1379	289.55438
1380	313.88705
1381	320.9839
1382	307.61023
1383	310.7583
1384	278.3835
1385	313.80576
1386	325.75626
1387	320.60074
1388	290.03473
1389	258.0994
1390	207.98361
1391	180.88657
1392	321.35913
1393	293.48935
1394	280.37137
1395	303.37506
1396	252.60938
1397	303.87042
1398	252.82124
1399	297.73502
1400	307.94098
1401	169.16293
1402	315.63452
1403	258.89087
1404	295.0543
1405	303.92395
1406	312.6993
1407	315.22064
1408	254.21382
1409	310.46967
1410	305.70526
1411	320.7834
1412	119.0052
1413	259.31097
1414	314.28638
1415	313.8435
1416	309.99774
